,Name,Author,Link,Category,The Specific Category,State,Description
35,水浒之诸天万界渔网,龙成青,//book.qidian.com/info/1032850040,历史,两宋元明,连载,王伦在梁山泊打渔，可是每一网下去，鱼没有捞上几条，到是捞上了很多稀奇古怪的东西。一网下去，捞上了一个无双猛将吕布！一网下去，捞上了一艘郑和宝船！一网下去，捞上了一头六头鲨！……朝廷派遣太尉高俅征讨梁山，惊恐发现，一个小小梁山泊竟然隐藏了这么恐怖的实力。会不会有一天王伦一网下去，捞上东海龙王？鱼头粉：565602773
36,诸天之从黑心虎开始,死三二一,//book.qidian.com/info/1033503653,诸天无限,无限,连载,路虎穿越到虹猫蓝兔七侠传世界，竟然成为了反派boss黑心虎，手下既有反贼又有内奸，儿子竟然还是一个舔狗。幸好他有一道诸天之门，可以穿梭诸天万界。功夫熊猫世界感悟精神之奥妙!风云世界杀龙屠凤，灭龙龟吞麒麟，聚集神兽力量于一体。倩女幽魂世界成为万妖之王，一统天下，号令一出，妖人两界莫敢不从。最终成为诸天顶峰!
37,诸天替身行,王子凝渊,//book.qidian.com/info/1033125845,诸天无限,无限,连载,诸天之路，临渊而行。盗墓世界打太极，剑雨世界穿锦衣。不良人中当皇帝，僵尸别怕我老无力。盗墓、剑雨、不良人已完结。综合僵尸更新中。预定世界：庆余年、风云、诛仙……有建议的书友可提意见，本书群：436670961。
38,华娱1997,胖一点,//book.qidian.com/info/1027700830,都市,娱乐明星,连载,1997年初，获得了后世资深娱乐小编记忆的曹轩，参演央视四大名著最后一部的《水浒传》。史上最帅西门大官人出炉……
39,诡秘之主,爱潜水的乌贼,//book.qidian.com/info/1010868264,玄幻,异世大陆,完本,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。
40,赤心巡天,情何以甚,//book.qidian.com/info/1016530091,仙侠,古典仙侠,连载,（《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。——————枫林城：1044491349（普群）VIP验证群：327980714
41,我真的长生不老,初恋璀璨如夏花,//book.qidian.com/info/1011717110,都市,都市异能,连载,本文讲述了一个长生不老的人应该如何在社会主义核心价值观的指导下，在现代人类社会中正确积极生活的故事。希望能够对其他长生者，特异功能人士，修仙者，外星人，非人类生物参与国家建设稳定和谐生活的经验起到抛砖引玉的作用。作品QQ群：741825442满，783764489（满）907366463（空）本书v群：870388766（满），723479938粉丝值10000
42,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
43,盗墓：一剑天门开，怒劈青铜门,九三废废,//book.qidian.com/info/1033850979,诸天无限,无限,连载,穿越盗墓的世界，成为了吴家那位江湖老妖精的儿子？老妈还是搬山道人？开局被吴老狗和吴二柏藏了二十年。原本计划混吃等死，以后继承十一仓逍遥快活，可看着老妈因为搬山诅咒日渐衰弱而大限将至，低调打卡二十年的吴钰终于忍不住站了出来。“既然青铜门不欢迎我进去，那就以我三尺剑峰，斩尽前路一切阻碍吧！”“剑开天门！”（多个世界融合，先从盗墓开始。）（简介短小无力，请各位看官移步正文。）
44,出场就满级的人生该怎么办,伴读小牧童,//book.qidian.com/info/1032750510,仙侠,幻想修仙,连载,“如果有什么事情是比上班更简单的，那一定就是天下无敌。”一个满级600的世界里，那个185728级的年轻人这样感叹道。
45,诸天从茅山开始,龙升云霄,//book.qidian.com/info/1029857127,诸天无限,诸天,连载,如果你能往返一个‘特殊’的民国世界，你会做什么？富甲天下，妻妾成群？提笔报国，文压天下？秣马厉兵，封王拜将？还是...练得身形似鹤形，千株松下两函经。我来问道无余说，云在青天水在瓶。ps：本书又名《诸天：从民国开始》。
46,朕,王梓钧,//book.qidian.com/info/1028520538,历史,两宋元明,连载,回到明末，沦落为奴。这皇帝，乞丐做得，建奴做得，流寇做得，家奴就做不得？
47,贩罪,三天两觉,//book.qidian.com/info/2173910,都市,异术超能,完本,天才。自闭、孤独、偏执、疯狂。每当时代变迁，逆十字的旗帜由他祭起。成则王侯将相，败则蛆蝇粪秽。平乱世，麾下四方辐辏，钟灵毓秀。隐市井，此生睥睨天下，唯有一人。
