,Name,Author,Link,Category,The Specific Category,State,Description
58,火力为王,如水意,//book.qidian.com/info/1026957246,都市,都市生活,连载,在大部分行当里，有人是老天爷不给饭吃，有些人是老天爷赏饭吃，有些人，是老天爷追着喂饭吃。在私人武力这个领域里，老天爷强行给高光灌饭吃。开局被绑架，高光为了活命，他被迫成为了私人武力承包商的一员。直到有一天，在私人武力这个领域里，他让高光时刻成为专业术语。他致力于提供战争相关周边服务，包括但不限于武力、军火、情报、以及技术支持。作为业界良心，品质保证。高光，你值得信赖。
59,女主从书里跑出来了怎么办,姬叉,//book.qidian.com/info/1031581482,都市,都市异能,连载,楚戈是个后宫文写手。当他正在写天下最强者之一的女宗主芳心萌动的时候……一个女人出现在他的房间里，持剑架在他的脖子上：“你敢写我爱上那个男人，我就杀了你。”
60,仙子很凶,关关公子,//book.qidian.com/info/1026684143,仙侠,幻想修仙,连载,左凌泉刚出生，便拥有了凡人能拥有的一切。名门贵子、俊美无双、家财万贯……但蹒跚学步之时，却发现这世界不属于凡人。妖鬼精怪、御风而行、大道长生……毫不意外，左凌泉踏上了追寻长生的路途。高人曾言：九域莽荒，太虚无迹。修行一道，如长夜无灯而行，激流无桥而渡。我辈修士，当谋而后动，万事‘从心’。左凌泉谨记教诲，就此凡事顺应心意，为所欲为……-------PS：已有万订完本作品《世子很凶》，多主角架空武侠，有兴趣的大佬可以瞅一眼。书友群：1012109860（V群敲管理）
61,恋上青梅这件事,转角吻猪,//book.qidian.com/info/1033340149,都市,都市生活,连载,同桌是个女生，长得还不错，但实在是太烦人了！天天踩我脚，还藏我水杯，动手掐我，跟我妈告状我上课睡觉，关键是她还跟牛皮糖似的甩都甩不掉，大学还跟我同班？？伟大的知友们，帮忙给我出出主意，有什么办法可以治一治她！……「要不，你试着跟她告个白？」——关键词：青梅、恋爱、日常、写作、萌宠
62,我的夫人竟是魔教教主,倔强的小肥兔,//book.qidian.com/info/1031527636,玄幻,东方玄幻,连载,青梅：“我家相公妙手回春，医者仁心，是渝州城最有名的大夫........”安景：“我家娘子温柔贤惠，厨艺高超，国色天香.......”............月色中，一轮新的剑雨落下，两道身影相互交错。“夫君，你不是大夫吗？”“夫人，你不是大家闺秀吗？”
63,谁还不是个修行者了,金色茉莉花,//book.qidian.com/info/1031784529,轻小说,原生幻想,连载,穿越到了一个玄幻世界，然而——具备先进思想的修行者们刚刚以一场旷日持久的战争结束了早已步入黄昏的旧修行时代。皇权压迫的时代没有了，修行者高高在上的时代消失了，这是一个修行普及、充满活力的崭新时代。欢迎来到新时代的黎明。这个年代，谁还不是个修行者了。
64,掌控时光之龙,唐宋元明氢,//book.qidian.com/info/1032536692,奇幻,史诗奇幻,连载,一望无际，冷酷严寒的极北冰原。冬狼潜行，霜虎嘶吼，巨人咆哮………诸多生物冒着漫天飞雪，挣扎生存。与此同时，一只掌控着时光之力的白色雏龙破壳而出，睁开了那双有着璀璨色彩的铂金龙曈。多年后，无尽世界中多了一位游走于过去，现在，未来，出没于各个时间线，缔造无穷传说的掌控时光之龙。
65,影帝他不想当太监,江公子阿宝,//book.qidian.com/info/1031493625,都市,娱乐明星,连载,我以后再也不要做太监了！大明朝最年轻最英俊的厂公，穿越成了横店一名群演。遣返倒计时开始！剩余时间92小时29分48秒……是当影帝日入两百万，还是被送回去当太监。你特凉的告诉我这是选择题？！！本书又名《作者他也不想当太监》本故事纯属虚构，如有雷同，你咬我啊~
66,凡人修仙传,忘语,//book.qidian.com/info/107580,仙侠,幻想修仙,完本,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！诸位道友，忘语新书《大梦主》，经在起点中文网上传了，欢迎大家继续支持哦！"
67,我有一枚两界印,西瓜吃葡萄,//book.qidian.com/info/1031135409,仙侠,神话修真,连载,拥有一枚玉印，可以自由穿越异世界。本来以为就是个平平无奇的古代世界，胸无大志的陆征准备当个自由的小倒爷，享受财主生活，找几个红袖添香，逛吃逛吃的过完这朴实无华且枯燥无味的一生。直到……施舍了门口乞丐一顿饭，玉印得到了几缕气运……狐女日至，倩鬼夜来。全真上门，禅师拦路。原来，这个世界不简单……
