,Name,Author,Link,Category,The Specific Category,State,Collect,Description
11,牧神记,宅猪,//book.qidian.com/info/1009704712,玄幻,东方玄幻,完本,2906861,大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他
12,第一序列,会说话的肘子,//book.qidian.com/info/1013562540,都市,都市异能,完本,2826392,废土之上，人类文明得以苟延残喘。一座座壁垒拔地而起，秩序却不断崩坏。有人说，当灾难降临时，精神意志才是人类面对危险的第一序列武器。有人说，不要让时代的悲哀，成为你的悲哀。有人说，我
13,我的治愈系游戏,我会修空调,//book.qidian.com/info/1025901449,悬疑,侦探推理,连载,2739254,警察同志，如果我说这是一款休闲治愈系游戏，你们信吗？
14,斗破苍穹,天蚕土豆,//book.qidian.com/info/1209977,玄幻,异世大陆,完本,2668828,这里是属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！新书等级制度：斗者，斗师，大斗师，斗灵，斗王，斗皇，斗宗，斗尊，斗圣，斗帝。……吴磊、林允主演的同名电视剧9
15,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,2658259,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
16,我真没想重生啊,柳岸花又明,//book.qidian.com/info/1015648531,都市,都市生活,完本,2635540,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？都市重生小说的天花板，年轻人绝对不
17,斗罗大陆III龙王传说,唐家三少,//book.qidian.com/info/3681560,玄幻,异世大陆,完本,2570686,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类
18,从今天开始做藩王,背着家的蜗牛,//book.qidian.com/info/1023831464,历史,架空历史,连载,2374520,一闭眼，一睁眼。赵煦发现自己成了一名皇子。美人妖娆，封地很远，国家很乱。而他只想守着自己的封土逍遥自在。只是若有敌人敢来犯，只让他有来无回，心胆寒……
19,这游戏也太真实了,晨星LL,//book.qidian.com/info/1029391348,轻小说,原生幻想,连载,2305388,这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只
20,玄界之门,忘语,//book.qidian.com/info/3676417,仙侠,幻想修仙,连载,2145844,天降神物！异血附体！群仙惊惧！万魔退避！一名从东洲大陆走出的少年。一具生死相依的红粉骷髅。一个立志成为至强者的故事。一段叱咤星河，大闹三界的传说。忘语新书，已完本《凡人修仙传》》《
21,镇妖博物馆,阎ZK,//book.qidian.com/info/1026722127,悬疑,诡秘悬疑,连载,2125851,世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一
22,斗罗大陆,唐家三少,//book.qidian.com/info/1115277,玄幻,异世大陆,完本,2107598,唐门外门弟子唐三，因偷学内门绝学为唐门所不容，跳崖明志时却发现没有死，反而以另外一个身份来到了另一个世界，一个属于武魂的世界，名叫斗罗大陆。这里没有魔法，没有斗气，没有武术，却有神
23,完美世界,辰东,//book.qidian.com/info/2952453,玄幻,东方玄幻,完本,1916088,一粒尘可填海，一根草斩尽日月星辰，弹指间天翻地覆。群雄并起，万族林立，诸圣争霸，乱天动地。问苍茫大地，谁主沉浮？！一个少年从大荒中走出，一切从这里开始……
24,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,1803952,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被
25,大主宰,天蚕土豆,//book.qidian.com/info/2750457,玄幻,异世大陆,完本,1797284,大千世界，位面交汇，万族林立，群雄荟萃，一位位来自下位面的天之至尊，在这无尽世界，演绎着令人向往的传奇，追求着那主宰之路。无尽火域，炎帝执掌，万火焚苍穹。武境之内，武祖之威，震慑乾
26,汉乡,孑与2,//book.qidian.com/info/1010136878,历史,架空历史,完本,1783008,我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事
27,全球高武,老鹰吃小鸡,//book.qidian.com/info/1012237441,都市,都市异能,完本,1765860,地窟入侵，武道崛起。小人物也有大情怀，为生存而战，为守护而战。且看小人物方平，一步步崛起，拯救（忽悠）全世界的故事！（一群群号555700424，二群群号931250725，全订验
28,赘婿,愤怒的香蕉,//book.qidian.com/info/1979049,历史,架空历史,连载,1763477,武朝末年，岁月峥嵘，天下纷乱，金辽相抗，局势动荡，百年屈辱，终于望见结束的第一缕曙光，天祚帝、完颜阿骨打、吴乞买，成吉思汗铁木真、札木合、赤老温、木华黎、博尔忽、博尔术、秦桧、岳飞
29,放开那个女巫,二目,//book.qidian.com/info/1003306811,奇幻,史诗奇幻,完本,1760075,程岩原以为穿越到了欧洲中世纪，成为了一位光荣的王子。但这世界似乎跟自己想的不太一样？女巫真实存在，而且还真具有魔力？女巫种田文，将种田进行到底。————新书《天道方程式》已经发布，
30,平平无奇大师兄,黑夜弥天,//book.qidian.com/info/1017176480,轻小说,原生幻想,完本,1726557,陆长生很难受。穿越仙侠世界，拥有一张主角脸。气质超凡，迷倒众生。突破境界，就能引来天地异象。念一首诗，便惊动天下文人。随便扯两句道德经、庄子、黄庭经，更是引来天花乱坠，万丈霞光，神
31,飞剑问道,我吃西红柿,//book.qidian.com/info/1010468795,仙侠,古典仙侠,完本,1695097,番茄继《吞噬星空》《莽荒纪》《雪鹰领主》后的第九本小说。————在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千
32,长夜余火,爱潜水的乌贼,//book.qidian.com/info/1023422452,玄幻,异世大陆,完本,1661285,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的
33,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,1652531,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣
34,天启预报,风月,//book.qidian.com/info/1014180485,奇幻,现代魔法,连载,1612358,“我想要挨一顿毒打……”——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自
35,凡人修仙传,忘语,//book.qidian.com/info/107580,仙侠,幻想修仙,完本,1603775,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！诸位道友，忘语新书《大梦主》，"
36,大王饶命,会说话的肘子,//book.qidian.com/info/1010191960,都市,都市生活,完本,1599783,高中生吕树在一场车祸中改变人生，当灵气复苏时代来袭，他要做这时代的领跑者。物竞天择，胜者为王。……全订验证群号：696087569
37,不朽凡人,鹅是老五,//book.qidian.com/info/1003307568,仙侠,幻想修仙,完本,1562695,在这里，拥有灵根才能修仙，所有凡根注定只是凡人。莫无忌，只有凡根，一介凡人！
38,稳住别浪,跳舞,//book.qidian.com/info/1025325411,都市,都市异能,连载,1545391,天堂打烊，地狱满员。所以，我留在人间当祸害呀……
39,明克街13号,纯洁滴小龙,//book.qidian.com/info/1030870265,都市,异术超能,连载,1530241,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。
40,庆余年,猫腻,//book.qidian.com/info/114559,历史,架空历史,完本,1497457,积善之家，必有余庆，留余庆，留余庆，忽遇恩人；幸娘亲，幸娘亲，积得阴功。劝人生，济困扶穷……而谁可知，人生于世，上承余庆，终究却是要自己做出道路抉择，正是所谓岔枝发：东风携云雨，幼
